CNPJ;Nome_Associacao;Telefone;Estado;Municipio
44.594.534/0001-69;ASSOCIACAO DE CAMINHONEIROS REDE TRUCK;3137710520;MG;SETE LAGOAS
57.773.139/0001-95;ASSOCIACAO DE CAMINHONEIROS TRUKX LEVES;31987510853;MG;SETE LAGOAS
26.002.217/0001-24;ASSOCIACAO DE PROTECAO DE CARROS E MOTOCICLETAS - MULTICAR BRASIL;3134187825;MG;BELO HORIZONTE
21.567.137/0001-00;ASSOCIACAO DE PROTECAO DE VEICULOS PESADOS - PROVEP;34992153354;MG;UBERLANDIA
45.659.435/0001-80;ASSOCIACAO DE PROTECAO DOS PROPRIETARIOS DE VEICULOS DE PARA DE MINAS E REGIAO COM MULTIPLOS PLANOS;31992910364;MG;PARA DE MINAS
55.191.622/0001-36;ASSOCIACAO DE PROTECAO E ASSISTENCIA VEICULAR PRO MAIS;31985094998;MG;GUANHAES
51.994.901/0001-87;ASSOCIACAO DE PROTECAO E BENEFICIOS AOS VEICULOS LEVES;34991670134;MG;ARAXA
17.922.983/0001-16;ASSOCIACAO DE PROTECAO E BENEFICIOS VEICULAR -VALORIZA CAR;3133922535;MG;BELO HORIZONTE
08.377.464/0001-23;ASSOCIACAO DE PROTECAO MATERIAL AOS PROPRIETARIOS DE VEICULOS AUTOMOTORES - ASSOCIACAR;3135323138;MG;BETIM
23.436.514/0001-90;ASSOCIACAO DE PROTECAO PATRIMONIAL IDEAL;3133910680;MG;CONTAGEM
20.596.108/0001-04;ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA INOVAR;3830843745;MG;MONTES CLAROS
20.940.809/0001-00;ASSOCIACAO DE PROTECAO VEICULAR E BENEFICIOS ALIANCA CAR;3135712305;MG;BRUMADINHO
45.777.095/0001-92;ASSOCIACAO DE PROTECAO VEICULAR E BENEFICIOS DE PATOS DE MINAS E REGIAO;34999751920;MG;PATOS DE MINAS
13.866.295/0001-25;ASSOCIACAO DE PROTECAO VEICULAR E SERVICOS SOCIAIS;3140072382;MG;BELO HORIZONTE
37.264.130/0001-41;ASSOCIACAO DE PROTECAO VEICULAR JF;32999518337;MG;JUIZ DE FORA
35.057.274/0001-00;ASSOCIACAO DE PROTECAO VEICULAR ZERO1;31999853857;MG;CONTAGEM
27.794.787/0001-67;ASSOCIACAO DE SOCORRO MUTUO BR;3125202022;MG;BELO HORIZONTE
39.764.465/0001-54;ASSOCIACAO DE SOCORRO MUTUO TOP BRASIL PV;3140636323;MG;CONTAGEM
25.109.306/0001-01;ASSOCIACAO DE VEICULOS MULTIMAIS VANTAGENS;33999348080;MG;GOVERNADOR VALADARES
10.804.689/0001-60;ASSOCIACAO DOS CAMINHONEIROS E EMPRESAS TRANSPORTADORAS DE CARGAS;3436641210;MG;ARAXA
29.397.548/0001-07;ASSOCIACAO DOS PROPRIETARIOS DE VEICULOS E MOTOCICLISTAS EM GERAL;31995975823;MG;CONTAGEM
07.714.742/0001-28;ASSOCIACAO DOS TRANSPORTADORES PATENSES;3438148400;MG;PATOS DE MINAS
07.132.340/0001-15;ASSOCIACAO EMPRESARIAL DOS TRANSPORTADORES DE CARGAS DE SABARA - ATS;3136411908;MG;SABARA
14.777.297/0001-00;ASSOCIACAO GESTAO VEICULAR UNIVERSO;3121204444;MG;BELO HORIZONTE
32.676.632/0001-66;ASSOCIACAO JK ASSISTENCIA DE PROTECAO DE PATRIMONIO;3432273850;MG;UBERLANDIA
25.354.235/0001-02;ASSOCIACAO MINAS DE PROTECAO VEICULAR - A M P V;3836777073;MG;UNAI
08.645.712/0001-70;ASSOCIACAO MINEIRA DE ASSISTENCIA E BENEFICIOS AOS AMIGOS;3133610458;MG;CONTAGEM
09.611.514/0001-58;ASSOCIACAO MINEIRA DE PROTECAO E ASSISTENCIA AUTOMOTIVA;3125151025;MG;BELO HORIZONTE
58.274.156/0001-40;ASSOCIACAO MUTUALISTA EXPERT - CLUBE DE BENEFICIOS;35999907377;MG;POCOS DE CALDAS
59.674.404/0001-03;ASSOCIACAO NACIONAL DE PROTECAO VEICULAR BRASIL VERDE GRUPO DE PROTECAO MUTUALISTA;38999371888;MG;UNAI
55.802.122/0001-93;ASSOCIACAO NOVA PROTECAO AUTOMOTIVA;31972098945;MG;TIMOTEO
35.535.239/0001-40;ASSOCIACAO OBJETIVA CLUBE DE BENEFICIOS E ASSISTENCIA PARA CONDUTORES DE VEICULOS;31996126966;MG;SETE LAGOAS
37.789.090/0001-51;ASSOCIACAO PARA AMPARO AOS MOTORISTAS DE APLICATIVOS APAMA GV;33984098115;MG;GOVERNADOR VALADARES
14.284.094/0001-82;ASSOCIACAO PARA O DESENVOLVIMENTO MUTUO E SOCIAL - SOMA;31983659894;MG;CONTAGEM
01.577.752/0001-82;ASSOCIACAO PARTICULAR DE AJUDA AO COLEGA - APAC -;3135913247;MG;BETIM
26.376.352/0001-30;ASSOCIACAO PATRIMONIAL MUTUALISTA DE PROTECAO E SEGURANCA - PRO SEGUR MUTUAL;8130626131;MG;IBIRITE
44.777.000/0001-78;ASSOCIACAO PRO TOP PROTECAO VEICULAR;31992283207;MG;BETIM
30.526.525/0001-26;ASSOCIACAO PROTON PROTECAO VEICULAR;3432310241;MG;UBERLANDIA
24.768.865/0001-60;ASSOCIACAO ROTA BRASIL DE APOIO A TRANSPORTADORES DE CARGA;3432138290;MG;UBERLANDIA
28.654.935/0001-00;ASSOCIACAO SEVEN DOS POSSUIDORES DE AUTOMOVEIS DE MINAS GERAIS;34991759982;MG;UBERLANDIA
49.798.362/0001-69;ASSOCIACAO SUDESTE PROTECAO VEICULAR;31996587820;MG;CONTAGEM
07.553.099/0001-06;ASSOCIACAO SUL MINEIRA DOS CAMINHONEIROS - ASSULMIC;35984147829;MG;ITAPEVA
33.235.892/0001-69;ASSOCIACAO SUPER AUTO PROTECAO PATRIMONIAL MUTUALISTA;31992342650;MG;BETIM
21.810.054/0001-92;ASSOCIACAO TIRADENTES PROTECAO VEICULAR;3130245829;MG;BELO HORIZONTE
30.384.478/0001-23;ASSOCIACAO UNIAO E PROTECAO AOS TRANSPORTADORES DE CARGAS DO NOROESTE MINEIRO UNITRAN;38999686916;MG;UNAI
18.902.390/0001-50;ASSOCIACAO UNIBETCAR DE PROTECAO PATRIMONIAL MUTUALISTA;3125711201;MG;BETIM
34.654.117/0001-00;ASSOCIACAO VIVA CAR PROTECAO VEICULAR;3125213131;MG;BETIM
54.275.539/0001-82;ASSOCIACAO Z4 CLUBE DE BENEFICIOS E PROTECAO PATRIMONIAL;3123423900;MG;BELO HORIZONTE
37.481.548/0001-00;ASSOCIACAO ZAP PROTECAO;3131577415;MG;JUIZ DE FORA
32.520.270/0001-10;ASSOCIBRAZ - PROTECAO PATRIMONIAL MUTUALISTA;31998629609;MG;CONTAGEM
26.787.296/0001-26;ASTER BRASIL PROTECAO PATRIMONIAL;3125139293;MG;BELO HORIZONTE
52.733.247/0001-10;ASTON ASSOCIACAO DE VEICULOS LEVES DA REGIAO DE CONTAGEM - MINAS GERAIS;31998907300;MG;CONTAGEM
09.335.988/0001-14;ASTRAMAC - ASSOCIACAO DE PROTECAO DOS AMIGOS TRANSPORTADORES DE CARGA DE MARTINHO CAMPOS E REGIAO;3735241415;MG;MARTINHO CAMPOS
08.261.892/0001-96;ASTRANS - ASSOCIACAO DOS TRANSPORTADORES DE SETE LAGOAS;3137730384;MG;SETE LAGOAS
10.695.384/0001-68;ATIVA ASSOCIACAO DE PROTECAO VEICULAR;3232134692;MG;JUIZ DE FORA
08.837.741/0001-33;ATRACOM - ASSOCIACAO DOS TRANSPORTADORES DE COMBUSTIVEL DE BETIM E CONTAGEM;3133628409;MG;CONTAGEM
41.266.970/0001-10;AUTO GUIA PROTECAO VEICULAR DE AJUDA MUTUA E BENEFICIOS;3136659887;MG;BETIM
18.234.373/0001-92;AUTO PROTEJA BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3125659697;MG;CONTAGEM
29.943.383/0001-13;AVANCCE CLUBE DE BENEFICIOS;31999363405;MG;SAO JOAQUIM DE BICAS
23.376.839/0001-24;AVANTE CLUBE DE BENEFICIOS;3125681020;MG;CONTAGEM
54.791.957/0001-22;AVANTECAR;31998932353;MG;IBIRITE
08.454.614/0001-55;AVAP - ASSOCIACAO DE VANTAGENS AS PESSOAS;3133283600;MG;CONTAGEM
46.894.567/0001-50;BARUCK ASSOCIACAO DE PROTECAO VEICULAR E SERVICO;31996671759;MG;PEDRO LEOPOLDO
39.565.771/0001-61;BENEFICIOS BLUE;3140036897;MG;BELO HORIZONTE
56.427.251/0001-01;BGV - CLUBE DE BENEFICIOS;31985595219;MG;CONTAGEM
34.839.323/0001-95;BLUE CAR BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;35988996496;MG;VARGINHA
46.418.533/0001-99;BV PROTECAO PATRIMONIAL MUTUALISTA;31972561389;MG;BELA VISTA DE MINAS
34.847.993/0001-53;BY MOTORS CLUBE DE BENEFICIOS ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3133185231;MG;BELO HORIZONTE
47.825.405/0001-22;CARFORT BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3135323062;MG;CONTAGEM
23.493.284/0001-09;CASVEL CLUBE DE BENEFICIOS ASSOCIACAO PATRIMONIAL MUTUALISTA;3130242721;MG;BELO HORIZONTE
35.623.688/0001-40;CENTRAL CAR - ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3137751404;MG;SETE LAGOAS
44.648.968/0001-02;CENTRAL PROTECAO PATRIMONIAL MUTUALISTA;37998283173;MG;DIVINOPOLIS
34.211.457/0001-67;CENTURION ASSOCIACAO DE PROTECAO DE VEICULOS AUTOMOTORES;31994957077;MG;BELO HORIZONTE
28.495.731/0001-74;CERTIFICAR PROTECAO PATRIMONIAL MUTUALISTA;3130553626;MG;BELO HORIZONTE
61.065.339/0001-60;CLIKAR BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3141124920;MG;CONTAGEM
35.348.215/0001-82;CLUB MINAS PROTECAO VEICULAR;31995500701;MG;PEDRO LEOPOLDO
09.236.560/0001-14;CLUBE ANPARA DE ASSITENCIA E BENEFICIOS;3333151393;MG;IPATINGA
21.320.308/0001-94;CLUBE DE BENEFICIOS ABRACO;3332213609;MG;BELO HORIZONTE
18.260.524/0001-87;CLUBE DE BENEFICIOS AUTOBHZ;3132014972;MG;BELO HORIZONTE
32.580.910/0001-87;CLUBE DE BENEFICIOS ESCOLTA;3135082002;MG;BELO HORIZONTE
24.520.099/0001-10;CLUBE DE BENEFICIOS EXCLUSIVE - GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;3136533302;MG;CONTAGEM
31.125.595/0001-35;CLUBE DE BENEFICIOS LUCK PROTECAO PATRIMONIAL MUTUALISTA;31997017988;MG;BELO HORIZONTE
57.395.961/0001-60;CLUBE DE BENEFICIOS MUTUOS PROAPP;31989111300;MG;BELO HORIZONTE
60.757.212/0001-40;CONFIA BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;19984500412;MG;BELO HORIZONTE
28.718.036/0001-24;CONFIANCA CLUBE DE BENEFICIOS;32991090838;MG;JUIZ DE FORA
21.382.711/0001-48;CONFIANCE -ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3732327005;MG;PARA DE MINAS
44.213.185/0001-98;CONNECT ASSOCIADOS;31980143791;MG;BELO HORIZONTE
32.742.115/0001-48;CONQUEST BRASIL ASSOCIACAO PATRIMONIAL MUTUALISTA;3125108600;MG;BELO HORIZONTE
07.755.676/0001-34;COOPERATIVA DE CONSUMO DOS TRANSPORTADORES RODOVIARIOS - COOPERTRUCK - LTDA;3134662729;MG;CONTAGEM
41.634.040/0001-72;COOPERATIVA DE PRESTACAO DE SERVICO E APOIO DO VALE DO JEQUITINHONHA E MUCURI - COOPERVALE;33997023712;MG;TEOFILO OTONI
44.359.482/0001-46;COOPERBEN BENEFICIOS E SOCORRO MUTUO;3141120888;MG;CONTAGEM
32.566.684/0001-80;COOPERMINAS PROTECAO PATRIMONIAL MUTUALISTA;31991332863;MG;BELO HORIZONTE
09.443.741/0001-11;CPV- COOPERATIVA DOS PROPRIETARIOS DE VEICULOS LTDA;3732418127;MG;ITAUNA
26.056.079/0001-66;DELTA CLUBE DE BENEFICIOS;3125202250;MG;BELO HORIZONTE
39.325.201/0001-02;EAGLE PROTECAO MUTUA E BENEFICIOS;3134744414;MG;BELO HORIZONTE
26.362.752/0001-96;EFRAIM CLUBE DE VANTAGENS;3130469779;MG;CONTAGEM
28.729.621/0001-20;ELITE CLUBE DE BENEFICIOS;34996661003;MG;UBERLANDIA
29.066.924/0001-72;ELITE PROTECAO VEICULAR;3138411488;MG;UBERLANDIA
57.914.819/0001-81;ELO BRASIL PROTECAO VEICULAR E SERVICOS SOCIAIS;3136571808;MG;MATOZINHOS
51.533.335/0001-06;ESCOLHA CERTA BENEFICIOS;3130106700;MG;BETIM
22.965.791/0001-27;EXCELENCIA ASSOCIACAO DE PROTECAO VEICULAR DOS COMERCIANTES PROPRIETARIOS DE VEICULOS LEVES DE CONTAGEM E REGIAO;3125120800;MG;CONTAGEM
32.318.591/0001-36;FIVE AUTO TRUCK;3131763664;MG;SETE LAGOAS
49.331.719/0001-02;FORMULA BENEFICIOS E SOCORRO MUTUO;31996399276;MG;CONTAGEM
33.990.923/0001-97;FOX-ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3135944401;MG;BETIM
24.847.070/0001-48;GLOBAL PROTECT ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;1146165443;MG;BELO HORIZONTE
28.073.157/0001-66;GLOBO CLUBE DE BENEFICIOS E SOCORRO MUTUO;3125676768;MG;CONTAGEM
52.390.909/0001-05;GPCAR BENEFICIOS;3137742604;MG;SETE LAGOAS
37.041.443/0001-30;GRUPO DE PROTECAO MUTUALISTA - AMCAR;31993599564;MG;CONTAGEM
34.270.278/0001-09;GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA - CARDOSH BRASIL;3132750516;MG;BELO HORIZONTE
24.803.631/0001-07;GRUPO MOTOR HOME DO BRASIL;3137864600;MG;BELO HORIZONTE
27.885.859/0001-81;GRUPO ONB PROTECAO PATRIMONIAL MUTUALISTA;3125850999;MG;CONTAGEM
55.388.841/0001-00;HELIOS BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;31992395859;MG;BETIM
29.425.306/0001-71;HORIZONTE ASSOCIACAO DE PROTECAO VEICULAR;3136531500;MG;CONTAGEM
23.357.600/0001-07;IDEAL CLUBE DE BENEFICIOS;3135164900;MG;BELO HORIZONTE
51.293.437/0001-00;IDEALIS SOCORRO MUTUO E PROTECAO VEICULAR;31998595205;MG;BETIM
24.577.083/0001-44;IMPERIO CAR ASSOCIACAO DOS MOTORISTAS DE IBIRITE;3125270983;MG;BELO HORIZONTE
47.770.914/0001-03;IMPERIO CLUBE DE BENEFICIOS - IMPERIO PROTECAO VEICULAR;31982849481;MG;CONTAGEM
29.271.598/0001-35;INFBRASIL ASSOCIACAO DE AUTOGESTAO;3121160886;MG;BELO HORIZONTE
56.005.428/0001-81;INICIATIVA ASSOCIACAO DE BENEFICIOS;31992216626;MG;BELO HORIZONTE
26.563.543/0001-00;INNOVE CLUBE DE BENEFICIOS;31984761327;MG;PEDRO LEOPOLDO
11.759.031/0001-47;INOVA CAR CLUBE DE BENEFICIOS;3135080700;MG;BETIM
51.980.540/0001-10;INTACTA BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3434372587;MG;ARAXA
26.602.796/0001-46;INTEGRAL - ASSOCIACAO DE PROTECAO PATRIMONIAL;31988353629;MG;IPATINGA
43.490.506/0001-39;INTENSIVA PROTECAO VEICULAR;3130401327;MG;CONTAGEM
44.495.799/0001-00;INVEST - ASSOCIACAO DOS COMERCIANTES CONDUTORES DE VEICULO DA GRANDE BELO HORIZONTE - MINAS GERAIS;31987839843;MG;BELO HORIZONTE
49.502.194/0001-12;ITUCAR - CLUBE DE BENEFICIOS;34997691627;MG;ITURAMA
58.554.496/0001-25;JF PETTRUS PROTECAO PATRIMONIAL MUTUALISTA;3220280289;MG;JUIZ DE FORA
26.781.337/0001-77;KRATOS BRASIL ASSOCIADOS;3136534929;MG;BELO HORIZONTE
36.451.691/0001-97;LEAL CLUBE DE BENEFICIOS;31995798087;MG;CONTAGEM
29.834.464/0001-85;LOTTUS - CLUBE DE BENEFICIOS;31991339563;MG;JOAO MONLEVADE
61.215.985/0001-67;MACROAUTO - GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;31999673544;MG;BETIM
21.832.108/0001-10;MASTERCAR ABM - ASSOCIACAO DE BENEFICIOS MUTUOS;3137874200;MG;BETIM
38.215.548/0001-21;MAXPRO PROTECAO AUTOMOTIVA;3133271722;MG;BELO HORIZONTE
24.366.947/0001-89;MAXXCAR - BARBACENA - ASSOCIACAO DOS PROPRIETARIOS DE VEICULOS AUTOMOTORES E BENEFICIOS;32988919835;MG;BARBACENA
37.527.946/0001-10;MAXXCAR ASSOCIACAO DE BENEFICIOS E PROTECOES;32999515570;MG;MATIAS BARBOSA
23.853.159/0001-54;MAXXGROUP-ASSOCIACAO DE BENEFICIOS E PROTECOES;3232178834;MG;JUIZ DE FORA
28.018.420/0001-14;MCBRASIL CLUBE DE BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3125656073;MG;BRUMADINHO
59.825.540/0001-57;METIS ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;31995001462;MG;BELO HORIZONTE
33.943.263/0001-93;MINAS AUTO BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3131982800;MG;CONTAGEM
32.446.550/0001-25;MINAS BRASIL PROTECAO PATRIMONIAL MUTUALISTA;31989287633;MG;CONTAGEM
22.397.448/0001-23;MIRACAR DO BRASIL ASSOCIACAO BRASILEIRA DE PROTECAO PATRIMONIAL MUTUALISTA;31997616345;MG;BETIM
20.786.635/0001-73;MIX ASSOCIACAO DE PROTECAO VEICULAR;31972561830;MG;JOAO MONLEVADE
23.699.501/0001-03;MOTO CAR - CLUBE DE BENEFICIOS;3332777994;MG;GOVERNADOR VALADARES
28.194.890/0001-39;MULTICLUBCAR CLUBE DE BENEFICIOS;3135191400;MG;BETIM
31.569.992/0001-04;MUNDIAL PROTECAO VEICULAR;31982766265;MG;CONTAGEM
22.007.788/0001-09;NACIONAL AUTO CLUBE DE BENEFICIOS E PROTECAO A VEICULOS - NACIONAL AUTO CLUBE;3125653030;MG;CONTAGEM
27.038.530/0001-85;NOBRE CLUBE DE BENEFICIOS ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3125200072;MG;BELO HORIZONTE
43.025.784/0001-15;NOBRE TRUCK SP - ASSOCIACAO DE PROTECAO VEICULAR;31997338861;MG;DIVINOPOLIS
41.316.552/0001-90;PAN - PLATAFORMA AUTOMOTIVA NACIONAL E PROTECAO PATRIMONIAL MUTUALISTA;3125246660;MG;CONTAGEM
35.586.489/0001-00;PETTRUS PROTECAO PATRIMONIAL MUTUALISTA;3230835079;MG;JUIZ DE FORA
27.623.394/0001-90;PHP CLUBE DE BENEFICIOS;31996372829;MG;BELO HORIZONTE
47.892.647/0001-39;PILAR ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA .;3132742368;MG;BELO HORIZONTE
30.924.988/0001-46;PJP ASSOCIACAO E CLUBE DE BENEFICIOS;3137211761;MG;CONSELHEIRO LAFAIETE
34.803.271/0001-05;PLAY PLATAFORMA DE BENEFICIOS GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;3130496334;MG;CONTAGEM
47.099.412/0001-94;PLENA BRASIL VEICULOS PROTEGIDOS;31972253044;MG;BELO HORIZONTE
29.123.992/0001-26;PLENO SELECT CLUBE DE BENEFICIOS;3140202044;MG;IPATINGA
49.138.247/0001-68;PLUG BENEFICIOS E SOCORRO MUTUO;3130584349;MG;BELO HORIZONTE
50.357.617/0001-37;PONTO PREMIUM BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3131570808;MG;CONTAGEM
22.884.074/0001-70;PORTAL CAR CLUBE DE BENEFICIOS;3125597740;MG;CONTAGEM
30.666.213/0001-18;PORTO REAL PROTECAO PATRIMONIAL MUTUALISTA;31998324567;MG;BELO HORIZONTE
26.811.493/0001-33;POWER CAR PROTECAO VEICULAR;3125651944;MG;CONTAGEM
45.959.389/0001-35;PREMMIER PROTECAO PATRIMONIAL MUTUALISTA;31991569353;MG;BETIM
49.707.632/0001-89;PRIME - ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;3136167197;MG;IPATINGA
30.174.571/0001-03;PROCLUBE CLUBE DE BENEFICIOS;3123914819;MG;BELO HORIZONTE
61.227.818/0001-36;PROFECT PROTECAO PATRIMONIAL MUTUALISTA;3133820733;MG;BELO HORIZONTE
12.472.235/0001-65;PROTEAUTO TRUCK - ASSOCIACAO DOS PROPRIETARIOS DE VEICULOS AUTOMOTORES DO BRASIL;3137796888;MG;SETE LAGOAS
37.894.031/0001-43;PROTEC AUTO TRUST BRASIL;3337512214;MG;BELO HORIZONTE
28.240.733/0001-12;PROTECT CAR PROTECAO VEICULAR;31991122978;MG;CONTAGEM
35.772.509/0001-37;PROTEGE CAR BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;3232218673;MG;JUIZ DE FORA
18.501.926/0001-26;PROTEV - ASSOCIACAO DE PROTECAO VEICULAR DE CARROS E MOTOS;3133875279;MG;CONTAGEM
40.355.031/0001-80;PROTVEM ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;31994568086;MG;BETIM
44.227.136/0001-04;PROVER ASSIST CLUBE DE BENEFICIOS PATRIMONIAL MUTUALISTA;3735233252;MG;POMPEU
27.543.924/0001-90;PROVINCE CLUBE DE BENEFICIOS - GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;3133240009;MG;BELO HORIZONTE
48.191.104/0001-57;QUALICAR PROTECAO PATRIMONIAL MUTUALISTA;3731120555;MG;DIVINOPOLIS
17.349.035/0001-33;RODAR - ASSOCIACAO DOS TRANSPORTADORES;31993141013;MG;SETE LAGOAS
23.276.812/0001-60;ROTA BRASIL BENEFICIOS;31982313571;MG;BELO HORIZONTE
30.955.212/0001-93;RTF CLUBE DE BENEFICIOS;3130466639;MG;CONTAGEM
39.445.918/0001-80;SAFETY CAR CLUBE DE BENEFICIOS;3121161600;MG;CONTAGEM
19.503.759/0001-15;SAVE CAR CLUBE DE ASSISTENCIA A PROTECAO PATRIMONIAL MUTUALISTA;3125680838;MG;CONTAGEM
29.614.103/0001-23;SISTEMA ASSOCIATIVO DE PROTECAO PATRIMONIAL MUTUALISTA DO BRASIL - SAB;31998886625;MG;CONTAGEM
23.610.932/0001-51;SPARTA ASSOCIACAO DE BENEFICIOS;3133514547;MG;BELO HORIZONTE
61.266.795/0001-79;TIGER BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;31984437973;MG;BELO HORIZONTE
32.248.756/0001-40;TOP TRUCK - CLUBE DE BENEFICIOS;3135652240;MG;CONTAGEM
28.301.135/0001-06;TRIPKAR PROTECAO PATRIMONIAL MUTUALISTA;31993833286;MG;BELO HORIZONTE
57.641.155/0001-24;UAI COMPANY ASSOCIACAO MUTUALISTA DE AUTOGESTAO PATRIMONIAL;31994769761;MG;BELO HORIZONTE
25.182.894/0001-09;UNIAO DE BENEFICIARIOS E PROPRIETARIOS DE CAMINHOES E TRANSPORTADORES DE CARGAS - PREVENIR TRUCK;3137873220;MG;BETIM
60.590.457/0001-25;UNIAO DOS CAMINHONEIROS DO BRASIL;3131762964;MG;SETE LAGOAS
08.388.164/0001-40;UNIAO NACIONAL DE ASSISTENCIA E BENEFICIOS AOS USUARIOS DE VEICULOS;3135321000;MG;BETIM
19.679.379/0001-36;UNIAO NACIONAL DOS CONSUMIDORES E PROPRIETARIOS DE VEICULOS - UNICOON;3138408795;MG;ITABIRA
55.702.718/0001-11;UNICOOP - COOPERATIVA DE CONSUMO DOS CONDUTORES DE VEICULOS AUTOMOTORES LTDA;31974331360;MG;BELO HORIZONTE
61.704.723/0001-66;UNITY SOLUTION PROTECAO VEICULAR;31999435043;MG;BETIM
53.272.255/0001-70;USI CLUB DE BENEFICIOS;3136166416;MG;IPATINGA
27.667.857/0001-16;VITALLYS BRASIL - CLUBE DE BENEFICIOS;3133551546;MG;CONTAGEM
33.767.492/0001-02;VIVER ASSISTENCIA;3132264777;MG;BELO HORIZONTE
59.185.481/0001-08;ZEPPO BRASIL PROTECAO VEICULAR;31999702705;MG;MATOZINHOS
35.481.438/0001-13;ZERO RISCO ASSOCIACAO DE PROTECAO VEICULAR;3138262171;MG;IPATINGA
60.909.988/0001-38;ASSOCIACAO HOPE PROTECAO VEICULAR;67993103345;MS;CAMPO GRANDE
37.296.107/0001-39;ASSOCIACAO MUTUA MAIS BENEFICIOS;6734244403;MS;DOURADOS
25.330.769/0001-07;ASSOCIACAO DE BENEFICIOS DOS AMIGOS MATOGROSSENSES;6635446021;MT;SORRISO
30.357.494/0001-27;ASSOCIACAO DE PROTECAO VEICULAR VITAX AUTO MAIS - APROVVAM;65990574311;MT;CUIABA
30.728.112/0001-24;ASSOCIACAO DOS PROPRIETARIOS E ARRENDATARIOS DE CAMINHOES DE NOVA MUTUM;66997263231;MT;NOVA MUTUM
36.631.764/0001-22;ASSOCIACAO FORTRES DE PROTECAO AUTOMOTIVA DO BRASIL;65981192137;MT;VARZEA GRANDE
58.039.085/0001-00;ASSOCIACAO GRUPO VERDE;66996195647;MT;VERA
10.420.006/0001-71;ASSOCIACAO NACIONAL DE GESTAO ESTUDOS LOGISTICOS;66999165888;MT;RONDONOPOLIS
37.425.740/0001-80;GRUPO 070;65996941216;MT;CAMPO VERDE
49.069.824/0001-07;LIDERANCA BENEFICIOS E SOCORRO MUTUO;65993262148;MT;NOVA MUTUM
52.749.024/0001-41;NOVVA;66996073487;MT;RONDONOPOLIS
59.186.653/0001-50;RDM ASSOCIACAO CLUBE DE BENEFICIOS MUTUOS AOS PROPRIETARIOS DE VEICULOS LEVES E PESADOS - PROTECAO VEICULAR;66996249898;MT;RONDONOPOLIS
59.789.245/0001-92;SOLUCAO ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;66996362154;MT;CUIABA
51.583.932/0001-45;BALUARTE GRUPO DE PROTECAO PATRIMONIAL MUTUALISTA;91986270958;PA;CASTANHAL
13.741.088/0001-44;BRASIL COOPERATIVA DE APOIO AOS CONSUMIDORES DE VEICULOS;91981805135;PA;BELEM
31.389.605/0001-40;NEWCOOP COOPERATIVA DE APOIO AOS CONSUMIDORES DE VEICULOS;91989740300;PA;BELEM
55.908.513/0001-97;VIA NORTE PROTECAO VEICULAR;94992649394;PA;PARAUAPEBAS
48.645.672/0001-80;ASSOCIACAO DE PROTECAO VEICULAR PROBEM;83988888840;PB;PEDRAS DE FOGO
39.487.811/0001-02;ASSOCIACAO DE SUPORTE E BENEFICIOS - SAFETYCAR;83996909283;PB;CAMPINA GRANDE
45.558.345/0001-01;ASSOCIACAO PROTEGER + CLUBE DE BENEFICIOS;8341413634;PB;JOAO PESSOA
46.355.576/0001-72;AUTO X ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;8331420872;PB;RIO TINTO
61.728.483/0001-30;FLASHPROTECT - PROTECAO VEICULAR;83981322125;PB;BAYEUX
31.455.851/0001-52;PROSEG - ASSOCIACAO DE PROTECAO PATRIMONIAL MUTUALISTA;83996336133;PB;CAMPINA GRANDE
55.049.181/0001-32;3R ASSOCIADOS DE BENEFICIOS MUTUOS;81993757812;PE;CHA GRANDE
